1,AMD Ryzen Threadripper 3970X
2,AMD EPYC 7742
3,AMD Ryzen Threadripper 3960X
4,AMD EPYC 7702P
5,AMD EPYC 7452
6,AMD Ryzen 9 3950X
7,Intel Xeon W-3175X @ 3.10GHz
8,AMD Ryzen 9 PRO 3900
9,Intel Core i9-10980XE @ 3.00GHz
10,AMD Ryzen 9 3900X
11,Intel Xeon W-3265 @ 2.70GHz
12,Intel Xeon Platinum 8268 @ 2.90GHz
13,"AMD Ryzen 9 3900,""31096
14,""AMD EPYC 7302P"
15,Intel Xeon Gold 6254 @ 3.10GHz
16,Intel Core i9-9980XE @ 3.00GHz
17,Intel Xeon Platinum 8168 @ 2.70GHz
18,Intel Xeon Platinum 8173M @ 2.00GHz
19,Intel Xeon Gold 6210U @ 2.50GHz
20,Intel Core i9-9960X @ 3.10GHz
21,AMD EPYC 7402P
22,Intel Xeon Platinum 8175M @ 2.50GHz
23,Intel Xeon Gold 6212U @ 2.40GHz
24,Intel Xeon Gold 6154 @ 3.00GHz
25,Intel Core i9-7980XE @ 2.60GHz
26,AMD EPYC 7502P
27,Intel Core i9-9940X @ 3.30GHz
28,Intel Xeon Platinum 8124M @ 3.00GHz
29,AMD Ryzen 7 PRO 3700
30,Intel Xeon Gold 6143 @ 2.80GHz
31,Intel Core i9-10920X @ 3.50GHz
32,Intel Core i9-7960X @ 2.80GHz
33,Intel Xeon Gold 6148 @ 2.40GHz
34,Intel Xeon W-3235 @ 3.30GHz
35,Intel Xeon Gold 6246 @ 3.30GHz
36,Intel Core i9-7940X @ 3.10GHz
37,Intel Xeon Gold 6138 @ 2.00GHz
38,Intel Xeon Gold 6242 @ 2.80GHz
39,Intel Xeon E5-2679 v4 @ 2.50GHz
40,AMD Ryzen Threadripper 2950X
41,Intel Xeon Gold 6146 @ 3.20GHz
42,Intel Core i9-9920X @ 3.50GHz
43,Intel Xeon Gold 6230 @ 2.10GHz
44,Intel Xeon W-2170B @ 2.50GHz
45,AMD Ryzen 7 3800X
46,Intel Xeon W-2195 @ 2.30GHz
47,Intel Xeon W-2175 @ 2.50GHz
48,Intel Xeon Platinum 8176 @ 2.10GHz
49,Intel Xeon Gold 6140 @ 2.30GHz
50,Intel Xeon Gold 6132 @ 2.60GHz
51,AMD Ryzen 7 3700X
52,Intel Xeon Gold 6152 @ 2.10GHz
53,Intel Xeon E5-2699 v4 @ 2.20GHz
54,Intel Core i9-7920X @ 2.90GHz
55,AMD Ryzen Threadripper 2990WX
56,Intel Core i9-9900X @ 3.50GHz
57,Intel Xeon E5-2699A v4 @ 2.40GHz
58,Intel Xeon E5-2697A v4 @ 2.60GHz
59,Intel Xeon E5-2699 v3 @ 2.30GHz
60,Intel Xeon E5-2696 v3 @ 2.30GHz
61,AMD EPYC 7371
62,AMD Ryzen Threadripper 2920X
63,AMD Ryzen Threadripper 1950X
64,Intel Xeon W-2155 @ 3.30GHz
65,Intel Core i9-7900X @ 3.30GHz
66,Intel Xeon E5-2698 v4 @ 2.20GHz
67,AMD Ryzen Threadripper 2970WX
68,AMD Ryzen 5 PRO 3600
69,Intel Core i9-9900KS @ 4.00GHz
70,Intel Xeon W-2150B @ 3.00GHz
71,Intel Xeon E5-2697 v4 @ 2.30GHz
72,Intel Xeon E5-2697 v3 @ 2.60GHz
73,Intel Xeon E5-2673 v4 @ 2.30GHz
74,Intel Xeon E5-2696 v4 @ 2.20GHz
75,Intel Xeon Gold 5218 @ 2.30GHz
76,Intel Xeon E5-2690 v4 @ 2.60GHz
77,Intel Core i9-9820X @ 3.30GHz
78,Intel Xeon E5-2698 v3 @ 2.30GHz
79,Intel Xeon Gold 6136 @ 3.00GHz
80,AMD EPYC 7571
81,AMD EPYC 7262
82,AMD Ryzen 5 3600X
83,Intel Core i7-7900X @ 3.30GHz
84,Intel Xeon E5-2682 v4 @ 2.50GHz
85,Intel Xeon Gold 6137 @ 3.90GHz
86,Intel Core i9-9900KF @ 3.60GHz
87,Intel Xeon E5-2695 v4 @ 2.10GHz
88,AMD EPYC 7401P
89,Intel Core i9-9900K @ 3.60GHz
90,AMD Ryzen Threadripper 1920X
91,Intel Core i7-6950X @ 3.00GHz
92,Intel Xeon E5-2687W v4 @ 3.00GHz
93,AMD Ryzen 5 3600
94,Intel Xeon E5-2686 v4 @ 2.30GHz
95,Intel Core i7-9800X @ 3.80GHz
96,Intel Xeon E5-2680 v4 @ 2.40GHz
97,Intel Xeon W-2145 @ 3.70GHz
98,Intel Xeon E5-2689 v4 @ 3.10GHz
99,Intel Xeon Gold 6126 @ 2.60GHz
100,Intel Xeon E5-2695 v3 @ 2.30GHz
